BHK,Type,Purpose,Location,Latitude,Longitude,City,furnishing,Bathroom,tenant_preferred,carpet_area,floor,direction,overlooking,society,amount
3,Builder,Rent,in Sector 8 Dwarka New Delhi              ,28.592705,77.065989,new delhi,Semi-Furnished,2,Bachelors/Family,1100 sqft,4 out of 4,North - East,"Garden/Park, Main Road",,"40,000"
1,Builder,Rent,"in Rajpur Khurd Extension, Rajpur New Delhi             ",28.493861,77.186508,new delhi,Furnished,1,Bachelors,450 sqft,4 out of 4,East,1,,"25,000"
4,Builder,Rent,in Panchsheel Park New Delhi               ,28.567074,77.242064,new delhi,Unfurnished,5,Bachelors,5000 sqft,4 out of 4,North - East,Garden/Park,,430000
2,Apartment,Rent,"Acharya Niketan, Mayur Vihar 1 New Delhi             ",28.6083003,77.2947817,new delhi,Furnished,1,Bachelors,700 sqft,2 out of 4,Acharya Niketan,1,Acharya Niketan,"22,000"
1,Apartment,Rent,"DDA Sunveiw Apartments, Sector 11 Dwarka New Delhi            ",39.03171,-90.26122,new delhi,Furnished,1,Bachelors/Family,500 sqft,3 out of 4,East,"Garden/Park, Main Road",DDA Sunveiw Apartments,"22,500"
2,Builder,Rent,in Sector 1 Dwarka New Delhi              ,28.592705,77.065989,new delhi,Furnished,2,Bachelors/Family,950 sqft,1 out of 4,East,"Garden/Park, Main Road",,"25,000"
2,Builder,Rent,"in DDA Abhilasha Apartment, Sector 23 Rohini New Delhi           ",Error,Error,new delhi,Furnished,2,Bachelors,900 sqft,Ground out of 3,North - West,"Garden/Park, Main Road",DDA Abhilasha Apartment,"30,000"
3,Builder,Rent,"in Tagore Park, Mukherjee Nagar New Delhi             ",28.55589,77.201979,new delhi,Semi-Furnished,3,Bachelors/Family,1000 sqft,1 out of 3,East,Garden/Park,,"45,000"
2,Apartment,Rent,"DDA Flats Sector D Pocket 7, Vasant Kunj New Delhi          ",39.03171,-90.26122,new delhi,Furnished,2,Bachelors,1800 sqft,3 out of 4,North,Garden/Park,DDA Flats Sector D Pocket 7,"60,000"
3,Builder,Rent,"in Defence colony Villas, Defence Colony New Delhi            ",28.56767,77.234012,new delhi,Semi-Furnished,3,Bachelors/Family,2100 sqft,1 out of 3,East,"Garden/Park, Main Road",Defence colony Villas,170000
4,Builder,Rent,in Safdarjung Enclave New Delhi               ,28.56502,77.1925584,new delhi,Semi-Furnished,4,Bachelors/Family,2300 sqft,2 out of 4,North - East,Main Road,,300000
3,Builder,Rent,in Greater Kailash 1 New Delhi              ,28.470777,77.50535,new delhi,Semi-Furnished,3,Bachelors/Family,1700 sqft,1 out of 4,North - East,Garden/Park,,120000
3,Apartment,Rent,"DDA Flats, Sarita Vihar, Mathura Road New Delhi            ",39.03171,-90.26122,new delhi,Furnished,2,Bachelors/Family,1500 sqft,2 out of 4,North - East,"Garden/Park, Main Road",DDA Flats,"47,500"
3,Builder,Rent,in Greater Kailash 2 New Delhi              ,28.470777,77.50535,new delhi,Unfurnished,3,Bachelors,1650 sqft,2 out of 4,North - East,Garden/Park,,150000
3,Apartment,Rent,"DDA Flats, Pocket J Sarita Vihar New Delhi            ",28.553915,77.175303,new delhi,Unfurnished,2,Family,1500 sqft,2 out of 4,"Garden/Park, Main Road",DDA Flats,DDA Flats,"40,000"
4,Builder,Rent,in Greater Kailash 2 New Delhi              ,28.470777,77.50535,new delhi,Semi-Furnished,4,Bachelors/Family,2300 sqft,2 out of 4,East,Garden/Park,,200000
