gender,base_price,food_included,beds_available,city,location,room_type1,room_type1_price,room_type2,room_type2_price,room_type3,room_type3_price,wifi_available,ac_available,food_available,landmark1,landmark2,landmark3,pg_rating,no_of_ratings
Coed,"10,000",,Beds Available,mumbai,in Powai,Single Room With AC,"28,000",Twin Sharing With AC,"14,000",Triple Sharing,"10,000",Wifi Available,AC Available,Food Not Available,0.3 Km from Hiranandani Foundation School,0.7 Km from Jolly Board Limited,"2.5 Km from Saki Naka metro station, Mumbai",,
Coed,"11,000",,Beds Available,mumbai,in Vikhroli East,Twin Sharing With AC,"11,000",Others With AC,"15,000",Others With AC,"15,000",Wifi Available,AC Available,Food Not Available,1.3 Km from Mumbai Public School,1.6 Km from Godrej One,"3.1 Km from Ghatkopar metro station, Mumbai",,
Coed,"13,000",,Beds Available,mumbai,in Powai,Single Room With AC,"30,000",Twin Sharing With AC,"13,000",,,,,,0.3 Km from Hiranandani Foundation School,0.7 Km from Jolly Board Limited,"2.5 Km from Saki Naka metro station, Mumbai",,
Coed,"5,000",,Beds Available,mumbai,in Andheri West,Single Room With AC,"25,000",Twin Sharing With AC,"15,000",Triple Sharing With AC,"10,000",Wifi Available,AC Available,Food Not Available,0.3 Km from St. Mary's High School,0.5 Km from Laxmi Industrial Estate,"0.9 Km from Versova metro station, Mumbai",,
Coed,"5,000",,Beds Available,mumbai,in Andheri West,Single Room With AC,"25,000",Twin Sharing With AC,"15,000",Triple Sharing With AC,"10,000",Wifi Available,AC Available,Food Not Available,0.3 Km from St. Mary's High School,0.5 Km from Laxmi Industrial Estate,"0.9 Km from Versova metro station, Mumbai",,
Coed,"7,500",Food Charge extra,Beds Available,mumbai,in Andheri West,Single Room With AC,"30,000",Twin Sharing With AC,"15,000",Triple Sharing,"9,500",Wifi Available,AC Available,Food Available,0.4 Km from Gyan Kendra Secondary School,0.5 Km from Mukkti Cultural Hub,"0.5 Km from Versova metro station, Mumbai",,
Coed,"13,000",Food Charge extra,Beds Available,mumbai,in Andheri East,Twin Sharing With AC,"20,000",Triple Sharing With AC,"17,000",Four Sharing With AC,"13,000",,,,0.2 Km from Pd Hinduja College Of Nursing,0.4 Km from Andheri Midc,"0.6 Km from Airport Road metro station, Mumbai",,
Girls,"9,000",Food Charge extra,Beds Available,mumbai,in Andheri West,Single Room With AC,"26,000",Twin Sharing With AC,"13,000",Triple Sharing With AC,"12,000",Wifi Available,AC Available,Food Available,0.3 Km from St. Mary's High School,0.5 Km from Laxmi Industrial Estate,"0.9 Km from Versova metro station, Mumbai",,
Coed,"13,000",,Beds Available,mumbai,in Goregaon East,Single Room With AC,"25,000",Twin Sharing With AC,"13,000",,,,,,1.2 Km from Oberoi International School,1.4 Km from Aarey Bhaskar Garden,1.8 Km from Metro Station,,
Coed,"12,500",Food Charge extra,Beds Available,mumbai,in Malad West,Single Room With AC,"26,000",Twin Sharing With AC,"12,500",,,Wifi Available,AC Available,Food Available,0.4 Km from Veer Bhagat Singh Vidyalaya,0.7 Km from Gemstar Comercial Complex,2.6 Km from Mahavir Nagar Metro Station,,
Coed,"8,500",,Beds Available,mumbai,in Powai,Single Room With AC,"26,000",Twin Sharing With AC,"13,000",Triple Sharing With AC,"8,500",Wifi Available,AC Available,Food Not Available,0.2 Km from R.J Degree Collage,0.2 Km from Omega Business Park,"2.4 Km from Saki Naka metro station, Mumbai",,
Coed,"8,500",,Beds Available,mumbai,in Ghatkopar East,Twin Sharing,"12,500",Triple Sharing With AC,"8,500",,,Wifi Available,AC Available,Food Not Available,0.2 Km from Ramniranjan Jhunjhunwala College,1.4 Km from Goldcrest Business Park,"0.9 Km from Ghatkopar metro station, Mumbai",,
Boys,"8,000",,Beds Available,mumbai,in Goregaon East,Single Room With AC,"15,000",Twin Sharing,"10,000",Triple Sharing With AC,"8,000",Wifi Available,AC Available,Food Not Available,1.1 Km from Indira Gandhi Institute of Development Research,1.7 Km from Aarey Bhaskar Garden,2.0 Km from Metro Station,,
Coed,"10,000",Food Charge extra,Beds Available,mumbai,in Santacruz West,Single Room With AC,"30,000",Twin Sharing With AC,"16,000",Triple Sharing With AC,"15,000",Wifi Available,AC Available,Food Available,0.0 Km from Poodar International School,0.9 Km from Yes Bank Office,"4.3 Km from Western Express Highway metro station, Mumbai",,
Coed,"12,000",,Beds Available,mumbai,in Andheri East,Single Room With AC,"25,000",Twin Sharing With AC,"12,000",,,Wifi Available,AC Available,Food Not Available,0.1 Km from Pd Hinduja College Of Nursing,0.2 Km from Andheri Midc,0.5 Km from Chakala (Jb Nagar) Metro Station,,
Coed,"18,000",,Beds Available,mumbai,in Chembur,Single Room,"32,000",Twin Sharing,"18,000",,,,,,0.5 Km from Loreto Convent School,0.5 Km from Meraki Arena,"4.7 Km from Ghatkopar metro station, Mumbai",5.0,1 Ratings
Coed,"7,000",,Beds Available,mumbai,in Andheri West,Twin Sharing,"10,000",Triple Sharing,"9,500",Four Sharing,"7,500",Wifi Available,AC Available,Food Available,0.3 Km from St. Mary's High School,0.5 Km from Laxmi Industrial Estate,"0.9 Km from Versova metro station, Mumbai",,
Boys,"55,000",Food Included,Beds Available,mumbai,in Vile Parle West,Four Sharing With AC,"55,000",Twin Sharing With AC,"65,000",,,Wifi Available,AC Available,Food Available,0.1 Km from Mukesh Patel School of Technology Management Engineering,1.0 Km from CDAC,1.6 Km from Andheri Metro Station,,
